,source,target,stimulation,inhibition,mode_of_action
6170,P15692,P21860,1,0,1.0
6171,P15692,P21709,1,0,1.0
6172,P15692,P35916,1,0,1.0
6173,P15692,P34925,1,0,1.0
6174,P09603,P21802,1,0,1.0
6175,P09603,Q9UM73,1,0,1.0
6176,P09603,P54753,1,0,1.0
6177,P09603,P08581,1,0,1.0
6178,P09603,P35590,1,0,1.0
6179,P09603,P30530,1,0,1.0
6180,P09603,P08069,1,0,1.0
6181,P09603,P22607,1,0,1.0
6182,P09603,P36888,1,0,1.0
6183,P09603,P29317,1,0,1.0
6184,P09603,P29322,1,0,1.0
6185,P09603,P00533,1,0,1.0
6186,P09603,P22455,1,0,1.0
6187,P09603,P11362,1,0,1.0
6188,P09603,P54760,1,0,1.0
6189,P09603,Q12866,1,0,1.0
6190,P09603,Q15375,1,0,1.0
6191,P09603,P54756,1,0,1.0
6192,P09603,Q8IWU2,1,0,1.0
6193,P09603,P06213,1,0,1.0
6194,P09603,P04626,1,0,1.0
6195,P09603,P10721,1,0,1.0
6196,P09603,Q9UF33,1,0,1.0
6197,P09603,Q04912,1,0,1.0
6198,P09603,Q01974,1,0,1.0
6199,P09603,P14616,1,0,1.0
6200,P09603,P29376,1,0,1.0
6201,P09603,P16234,1,0,1.0
6202,P09603,Q16832,1,0,1.0
6203,P09603,Q08345,1,0,1.0
6204,P09603,P29320,1,0,1.0
6205,P09603,P54764,1,0,1.0
6206,P09603,P09619,1,0,1.0
6207,P09603,O15146,1,0,1.0
6208,P09603,Q01973,1,0,1.0
6209,P09603,Q16288,1,0,1.0
6210,P09603,Q02763,1,0,1.0
6211,P09603,P08922,1,0,1.0
6212,P09603,Q13308,1,0,1.0
6213,P09603,Q06418,1,0,1.0
6214,P09603,P07949,1,0,1.0
6215,P09603,Q16620,1,0,1.0
6216,P09603,P04629,1,0,1.0
6217,P09603,Q6ZMQ8,1,0,1.0
6218,P09603,P54762,1,0,1.0
6219,P09603,P29323,1,0,1.0
6220,P09603,Q15303,1,0,1.0
6221,P09603,P21860,1,0,1.0
6222,P09603,P21709,1,0,1.0
6223,P09603,P35916,1,0,1.0
6224,P09603,P34925,1,0,1.0
6225,P09603,P35968,1,0,1.0
6226,P09603,P17948,1,0,1.0
6227,P10912,Q13163,1,0,1.0
6228,Q92847,P63096,1,0,1.0
6229,Q92847,P50148,1,0,1.0
6230,P50148,P01112,1,0,1.0
6231,P50148,P61586,1,0,1.0
6232,P63092,O15169,1,0,1.0
6233,P62873,Q00722,1,0,1.0
6234,P16520,P42336,1,0,1.0
6235,Q9UBI6,P31751,1,0,1.0
6236,Q9UBI6,P42336,1,0,1.0
6237,Q9UBI6,Q9P212,1,0,1.0
6238,Q9UBI6,P17612,0,1,-1.0
6239,P59768,P19174,1,0,1.0
6240,P63211,P19174,1,0,1.0
6241,Q9HD26,P08588,0,1,-1.0
6242,Q99527,P00533,1,0,1.0
6243,Q99527,P50148,1,0,1.0
6244,Q8TDV5,P50148,1,0,1.0
6245,Q8TDV5,P19086,1,0,1.0
6246,P32249,P63096,1,0,1.0
6247,P32249,P19086,1,0,1.0
6248,P31749,P22736,0,1,-1.0
6249,Q9NQS5,P63096,1,0,1.0
6250,P22681,P62993,1,0,1.0
6251,P62993,P22681,0,0,0.1
6252,P62993,Q9UQC2,1,0,1.0
6253,P62993,Q92918,1,0,1.0
6254,P25098,P15311,1,0,1.0
6255,P25098,Q16539,0,1,-1.0
6256,P34947,P30411,0,1,-1.0
6257,P34947,O75581,1,0,1.0
6258,P34947,P04637,0,1,-1.0
6259,P30550,P50148,1,0,1.0
6260,P49840,Q13144,0,1,-1.0
6261,P49840,P01106,0,1,-1.0
6262,P49840,P46531,0,1,-1.0
6263,P49840,Q13563,0,0,0.1
6264,P49841,P25054,1,0,1.0
6265,P49841,O00327,0,1,-1.0
6266,P49841,Q07812,1,0,1.0
6267,P49841,Q6PGQ7,1,0,1.0
6268,P49841,P30304,0,1,-1.0
6269,P49841,P38936,0,1,-1.0
6270,P49841,P33076,1,0,1.0
6271,P49841,Q9NQX3,0,1,-1.0
6272,P49841,P56524,0,1,-1.0
6273,P49841,Q14103,0,1,-1.0
6274,P15336,P27361,0,0,0.1
6275,P27361,P15336,1,0,1.0
6276,P49841,Q07820,0,1,-1.0
6277,P49841,P12036,0,1,-1.0
6278,P49841,P46531,1,0,1.0
6279,Q03113,P61586,1,0,1.0
6280,P49841,P04150,0,1,-1.0
6281,P49841,O60346,0,1,-1.0
6282,P49841,Q02156,1,0,1.0
6283,P49841,P49768,0,1,-1.0
6284,P49841,P60484,0,1,-1.0
6285,P49841,Q01974,0,1,-1.0
6286,P49841,P23246,0,1,-1.0
6287,O96017,P29590,0,0,0.1
6288,P27361,Q15672,1,0,1.0
6289,P38936,Q00526,0,1,-1.0
6290,P11802,P38936,0,0,0.1
6291,P38936,P11802,0,0,0.1
6292,Q5VWQ8,Q99683,1,0,1.0
6293,Q99683,Q5VWQ8,0,0,0.1
6294,P69905,Q86VB7,1,0,1.0
6295,P34947,P37840,0,1,-1.0
6296,P68871,Q86VB7,1,0,1.0
6297,P08631,Q13905,1,0,1.0
6298,O43613,P63096,1,0,1.0
6299,O43613,P50148,1,0,1.0
6300,O43613,P19086,1,0,1.0
6301,O43614,Q14344,1,0,1.0
6302,Q05397,P12814,0,0,0.1
6303,O43614,P63096,1,0,1.0
6304,Q13547,P24385,0,0,0.1
6305,Q15637,P35637,0,1,-1.0
6306,Q13547,Q04206,0,1,-1.0
6307,O15379,Q01094,1,0,1.0
6308,O15379,Q13547,1,0,1.0
6309,P56524,Q06413,0,1,-1.0
6310,P12931,Q05655,1,0,1.0
6311,Q05655,P12931,0,0,0.1
6312,Q16665,P15692,1,0,1.0
6313,Q9H2X6,P16220,1,0,1.0
6314,Q9H2X6,P17096,0,1,-1.0
6315,P09601,P69905,0,1,-1.0
6316,P09629,P78527,1,0,1.0
6317,P01112,O00329,1,0,1.0
6318,P01112,P48736,1,0,1.0
6319,P35367,P50148,1,0,1.0
6320,P35367,P19086,1,0,1.0
6321,P25021,P63096,1,0,1.0
6322,P25021,P50148,1,0,1.0
6323,Q9Y5N1,P63096,1,0,1.0
6324,P07900,P10275,1,0,1.0
6325,P07900,Q9HC29,1,0,1.0
6326,P07900,P43034,1,0,1.0
6327,P07900,P53041,1,0,1.0
6328,P07900,P36897,1,0,1.0
6329,P07900,P37173,1,0,1.0
6330,P08238,P10275,1,0,1.0
6331,P19784,Q9UQE7,0,0,0.1
6332,P0DMV8,P22413,1,0,1.0
6333,P0DMV8,Q8NFG4,1,0,1.0
6334,P0DMV8,Q9HC29,1,0,1.0
6335,P0DMV8,P04150,0,1,-1.0
6336,P0DMV9,Q9HC29,1,0,1.0
6337,P04792,P30793,1,0,1.0
6338,P08908,P63096,1,0,1.0
6339,P49841,Q9Y6R4,0,1,-1.0
6340,P28222,P63096,1,0,1.0
6341,P28221,P19086,1,0,1.0
6342,P28566,P19086,1,0,1.0
6343,P30939,P63096,1,0,1.0
6344,P28335,Q03113,1,0,1.0
6345,P28335,P63096,1,0,1.0
6346,P28335,P50148,1,0,1.0
6347,P28335,P19086,1,0,1.0
6348,Q13639,P63096,1,0,1.0
6349,Q13639,P19086,1,0,1.0
6350,P50406,Q14344,1,0,1.0
6351,P55072,Q8TAT6,1,0,1.0
6352,P50406,P50148,1,0,1.0
6353,P50406,P19086,1,0,1.0
6354,P34969,P50148,1,0,1.0
6355,P34969,P19086,1,0,1.0
6356,O14920,P42771,0,1,-1.0
6357,O14920,Q9NQC7,0,0,0.1
6358,O14920,Q9Y6Q9,1,0,1.0
6359,Q14164,P03372,1,0,1.0
6360,Q14164,Q12778,0,1,-1.0
6361,Q14164,P98177,0,1,-1.0
6362,Q14164,Q04864,1,0,1.0
6363,Q14164,P42224,1,0,1.0
6364,P49674,O60716,0,1,-1.0
6365,Q05513,P49841,0,1,-1.0
6366,Q13651,O60674,1,0,1.0
6367,Q13261,P14784,1,0,1.0
6368,Q13261,P52333,1,0,1.0
6369,Q13261,P29597,1,0,1.0
6370,P14778,P45983,1,0,1.0
6371,P14778,P45984,1,0,1.0
6372,P14784,P29353,1,0,1.0
6373,P24394,P35568,1,0,1.0
6374,P24394,Q9Y4H2,1,0,1.0
6375,O60674,P24394,0,0,0.1
6376,P24394,O60674,1,0,1.0
6377,P24394,P42229,1,0,1.0
6378,P16871,P23458,0,0,0.1
6379,P23458,P16871,0,0,0.1
6380,Q13418,Q9Y243,1,0,1.0
6381,Q13418,P31751,1,0,1.0
6382,Q13418,P23528,0,1,-1.0
6383,P06213,P0DP25,0,1,-1.0
6384,P06213,P29353,1,0,1.0
6385,P51617,Q96FA3,1,0,1.0
6386,Q96FA3,P51617,0,0,0.1
6387,Q9Y616,Q9NWZ3,0,1,-1.0
6388,Q9NWZ3,P14598,1,0,1.0
6389,Q9NWZ3,Q9HAT8,1,0,1.0
6390,P10914,Q02556,1,0,1.0
6391,Q02556,P10914,0,0,0.1
6392,Q15306,Q13568,0,1,-1.0
6393,P48551,Q00978,0,0,0.1
6394,Q00978,P48551,1,0,1.0
6395,P12931,Q9ULV8,1,0,1.0
6396,Q96J02,Q9UM47,0,1,-1.0
6397,Q96J02,Q04721,0,1,-1.0
6398,Q96J02,Q99466,0,1,-1.0
6399,Q96J02,P21580,1,0,1.0
6400,Q96J02,Q8NFZ5,0,1,-1.0
6401,P06241,Q00535,1,0,1.0
6402,P49841,P04637,1,0,1.0
6403,P20701,P05362,0,0,0.1
6404,P12931,Q06187,1,0,1.0
6405,P16144,P42336,1,0,1.0
6406,P16144,O00329,1,0,1.0
6407,P16144,P48736,1,0,1.0
6408,Q08881,P42680,1,0,1.0
6409,P06239,P60484,1,0,1.0
6410,O60674,Q92888,1,0,1.0
6411,P24941,P17096,0,1,-1.0
6412,O60674,P16410,0,1,-1.0
6413,O60674,Q15910,0,1,-1.0
6414,O60674,Q9UQC2,1,0,1.0
6415,O60674,P20701,1,0,1.0
6416,O60674,O14744,0,1,-1.0
6417,O60674,P41597,1,0,1.0
6418,Q8WYK2,P15336,0,1,-1.0
6419,Q8WYK2,P05412,0,1,-1.0
6420,P53779,P15336,1,0,1.0
6421,P53779,Q07817,0,1,-1.0
6422,P45984,Q07817,0,1,-1.0
6423,P53779,P84022,1,0,1.0
6424,P45983,P84022,1,0,1.0
6425,P45984,P84022,1,0,1.0
6426,P05412,Q13485,1,0,1.0
6427,Q92831,Q06413,1,0,1.0
6428,Q92831,P15172,1,0,1.0
6429,Q92831,Q9UM47,1,0,1.0
6430,Q92831,Q04721,1,0,1.0
6431,Q92831,Q99466,1,0,1.0
6432,Q92831,Q15796,1,0,1.0
6433,Q92831,P84022,1,0,1.0
6434,Q92993,P15172,1,0,1.0
6435,Q92993,Q01130,0,1,-1.0
6436,Q8NHM5,Q99496,1,0,1.0
6437,Q9UGL1,O00257,1,0,1.0
6438,P35968,P19174,1,0,1.0
6439,Q92945,Q92997,0,1,-1.0
6440,P10721,O60674,1,0,1.0
6441,P49841,Q13887,0,1,-1.0
6442,Q03164,Q01196,1,0,1.0
6443,O14686,P03372,1,0,1.0
6444,Q8NG31,O43683,1,0,1.0
6445,O60684,Q9UM47,1,0,1.0
6446,O60684,Q04721,1,0,1.0
6447,O60684,Q99466,1,0,1.0
6448,Q14974,P84022,1,0,1.0
6449,P01116,O00329,1,0,1.0
6450,P01116,P48736,1,0,1.0
6451,P01116,Q9NS23,1,0,1.0
6452,P04264,P25054,1,0,1.0
6453,Q9BUB5,P47712,1,0,1.0
6454,P36507,Q9UHA4,0,0,0.1
6455,Q9UHA4,P36507,1,0,1.0
6456,O43561,P42336,1,0,1.0
6457,Q9NRM7,Q9GZV5,0,1,-1.0
6458,O95835,Q9GZV5,0,1,-1.0
6459,P06239,P10747,1,0,1.0
6460,P06239,P20138,1,0,1.0
6461,P06239,P16410,0,1,-1.0
6462,P06239,Q99704,1,0,1.0
6463,P06239,Q9BZS1,0,1,-1.0
6464,P55072,Q92890,1,0,1.0
6465,P06239,Q04759,1,0,1.0
6466,Q04759,P06239,0,0,0.1
6467,P06239,Q9UQQ2,1,0,1.0
6468,P06239,P29353,1,0,1.0
6469,P06239,Q96LC7,1,0,1.0
6470,P12931,P08238,1,0,1.0
6471,Q8TBB1,P49757,0,1,-1.0
6472,P63279,P58012,1,0,1.0
6473,Q92633,Q03113,1,0,1.0
6474,Q9HBW0,Q03113,1,0,1.0
6475,Q9UBY5,Q03113,1,0,1.0
6476,Q9UBY5,P63096,1,0,1.0
6477,Q9UBY5,P50148,1,0,1.0
6478,Q9UBY5,P19086,1,0,1.0
6479,P41240,P46531,1,0,1.0
6480,Q5S007,P31749,1,0,1.0
6481,Q5S007,Q9Y243,1,0,1.0
6482,Q5S007,P31751,1,0,1.0
6483,Q9UPZ9,Q8N122,1,0,1.0
6484,Q5S007,P26038,1,0,1.0
6485,Q5S007,Q99961,0,1,-1.0
6486,Q5S007,Q99962,0,1,-1.0
6487,Q5S007,O95295,0,1,-1.0
6488,Q9NPC1,P63096,1,0,1.0
6489,P36941,Q12933,1,0,1.0
6490,P07948,P15391,1,0,1.0
6491,P07948,P46527,0,1,-1.0
6492,P07948,O75807,1,0,1.0
6493,P07948,P29350,1,0,1.0
6494,O75444,P10242,0,1,-1.0
6495,Q9UJ55,P14373,1,0,1.0
6496,Q92585,P49336,1,0,1.0
6497,Q92585,P62805,0,1,-1.0
6498,Q92585,Q06413,1,0,1.0
6499,Q92585,P46531,1,0,1.0
6500,Q92585,Q04721,1,0,1.0
6501,Q92585,Q9UM47,1,0,1.0
6502,Q92585,Q99466,1,0,1.0
6503,Q9GZQ8,Q14596,0,1,-1.0
6504,Q9BXW4,Q14596,0,1,-1.0
6505,Q02750,P32121,1,0,1.0
6506,Q02750,P37231,0,0,0.1
6507,Q02750,P17542,0,1,-1.0
6508,P45985,P19793,0,1,-1.0
6509,P52564,P46108,1,0,1.0
6510,P52564,P53779,1,0,1.0
6511,P52564,P45984,1,0,1.0
6512,O14733,Q13158,0,1,-1.0
6513,O14733,P35568,0,1,-1.0
6514,Q16584,Q13526,1,0,1.0
6515,Q99558,Q00653,1,0,1.0
6516,Q13233,Q13158,0,1,-1.0
6517,Q13233,P52564,1,0,1.0
6518,Q9Y2U5,P36507,1,0,1.0
6519,Q99759,P46734,1,0,1.0
6520,Q99759,P45985,1,0,1.0
6521,Q99759,P53805,1,0,1.0
6522,Q9Y6R4,P46734,1,0,1.0
6523,O43318,Q8IVT5,0,1,-1.0
6524,O43318,Q15653,0,1,-1.0
6525,P09341,Q9P212,1,0,1.0
6526,Q92918,Q13094,1,0,1.0
6527,Q9Y4K4,P49841,0,1,-1.0
6528,P53779,P05067,1,0,1.0
6529,P53779,P30307,0,1,-1.0
6530,P53779,Q9NR28,0,1,-1.0
6531,P53779,O95644,0,1,-1.0
6532,P53779,P16949,0,1,-1.0
6533,P53779,P04637,1,0,1.0
6534,P53779,P63104,0,1,-1.0
6535,Q15759,Q01844,0,0,0.1
6536,Q15759,P05787,1,0,1.0
6537,Q15759,Q8N122,0,0,0.1
6538,Q15759,P15923,1,0,1.0
6539,Q15759,Q15672,1,0,1.0
6540,P53778,P05787,1,0,1.0
6541,O15264,P04637,1,0,1.0
6542,Q16539,P31751,1,0,1.0
6543,Q16539,Q9UIG0,1,0,1.0
6544,P42574,Q16539,0,0,0.1
6545,Q16539,P42574,0,1,-1.0
6546,Q16539,P24385,1,0,1.0
6547,Q16539,P38936,1,0,1.0
6548,Q16539,Q99626,1,0,1.0
6549,Q16539,O15519,1,0,1.0
6550,Q16539,Q13541,0,1,-1.0
6551,Q16539,P03372,1,0,1.0
6552,Q16539,Q01844,0,0,0.1
6553,Q16539,Q15910,1,0,1.0
6554,Q16539,P11362,0,1,-1.0
6555,Q16539,O43524,1,0,1.0
6556,Q16539,Q12778,1,0,1.0
6557,Q16539,P98177,1,0,1.0
6558,Q16539,P84243,1,0,1.0
6559,Q16539,P05787,1,0,1.0
6560,Q16539,Q16584,0,1,-1.0
6561,Q16539,Q02078,1,0,1.0
6562,Q16539,P47712,1,0,1.0
6563,Q16539,P06400,0,1,-1.0
6564,Q16539,P15923,1,0,1.0
6565,P31947,Q13322,1,0,1.0
6566,P61981,Q13322,1,0,1.0
6567,P31946,Q13322,1,0,1.0
6568,Q04917,Q13322,1,0,1.0
6569,P63104,Q13322,1,0,1.0
6570,P62258,Q13322,1,0,1.0
6571,P27348,Q13322,1,0,1.0
6572,Q8TD08,P05412,1,0,1.0
6573,P28482,Q8IZP0,1,0,1.0
6574,P28482,O00213,1,0,1.0
6575,P28482,Q92974,1,0,1.0
6576,P15336,P28482,0,0,0.1
6577,P28482,P15336,1,0,1.0
6578,P28482,P41182,0,1,-1.0
6579,P28482,Q96LC9,1,0,1.0
6580,P28482,Q53EZ4,0,1,-1.0
6581,P28482,P33076,0,0,0.1
6582,P28482,Q01844,0,0,0.1
6583,Q15759,P00533,0,1,-1.0
6584,P28482,Q9UQC2,1,0,1.0
6585,P28482,Q9H8Y8,1,0,1.0
6586,P28482,Q13322,1,0,1.0
6587,P28482,P78347,1,0,1.0
6588,P28482,P46695,1,0,1.0
6589,P46695,P28482,0,0,0.1
6590,P28482,Q14005,1,0,1.0
6591,P28482,P35568,0,1,-1.0
6592,P28482,P17535,1,0,1.0
6593,P28482,Q07666,1,0,1.0
6594,P28482,Q07866,0,1,-1.0
6595,P06239,P28482,0,0,0.1
6596,P28482,P06239,0,0,0.1
6597,P28482,P42702,0,1,-1.0
6598,P28482,Q07820,1,0,1.0
6599,Q13546,Q9Y4K3,1,0,1.0
6600,P28482,O75030,0,1,-1.0
6601,P28482,Q969V6,0,1,-1.0
6602,P28482,P14598,1,0,1.0
6603,P28482,Q15788,1,0,1.0
6604,P28482,Q14934,1,0,1.0
6605,P28482,Q86UR1,0,1,-1.0
6606,P28482,P43354,1,0,1.0
6607,P28482,P49790,0,0,0.1
6608,P28482,P06401,0,1,-1.0
6609,P28482,P47712,1,0,1.0
6610,P28482,Q07869,1,0,1.0
6611,P28482,P35398,0,1,-1.0
6612,O60504,P28482,0,0,0.1
6613,P28482,O60504,1,0,1.0
6614,P41221,O00144,1,0,1.0
6615,P28482,Q02447,1,0,1.0
6616,P28482,P42229,1,0,1.0
6617,P28482,P10828,1,0,1.0
6618,Q92570,P10415,0,1,-1.0
6619,P28482,Q15672,1,0,1.0
6620,P27361,Q8IZP0,1,0,1.0
6621,Q96FA3,Q13489,1,0,1.0
6622,P23443,P78371,0,0,0.1
6623,O00213,P27361,0,0,0.1
6624,P27361,O00213,0,0,0.1
6625,P27361,Q92974,1,0,1.0
6626,P27361,Q9UIG0,1,0,1.0
6627,P27361,P41182,0,1,-1.0
6628,P36894,Q13873,0,0,0.1
6629,Q13873,P36894,1,0,1.0
6630,P27361,P55211,0,1,-1.0
6631,P27361,P33076,0,0,0.1
6632,Q9BX63,P54132,1,0,1.0
6633,P27361,O43524,0,1,-1.0
6634,P27361,Q9UQC2,1,0,1.0
6635,P27361,P17302,0,1,-1.0
6636,P27361,Q13322,1,0,1.0
6637,P27361,P49841,0,1,-1.0
6638,P27361,Q00613,0,1,-1.0
6639,P27361,Q07866,0,1,-1.0
6640,P27361,O43561,0,1,-1.0
6641,P27361,P42702,0,1,-1.0
6642,P27361,P43364,1,0,1.0
6643,P27361,P49137,1,0,1.0
6644,P27361,Q07820,1,0,1.0
6645,P27361,Q15648,1,0,1.0
6646,Q9H4A3,Q9UEW8,1,0,1.0
6647,P27361,Q969V6,0,1,-1.0
6648,P27361,P14598,1,0,1.0
6649,Q16539,Q14790,0,1,-1.0
6650,P27361,Q9NZQ3,1,0,1.0
6651,P27361,Q14934,1,0,1.0
6652,P27361,P04150,0,1,-1.0
6653,P27361,P49790,0,0,0.1
6654,P27361,Q13153,0,1,-1.0
6655,P27361,P29590,1,0,1.0
6656,O15379,P24385,0,1,-1.0
6657,P24385,O15379,0,0,0.1
6658,P27361,Q07869,1,0,1.0
6659,P27361,P23396,1,0,1.0
6660,P27361,Q8N122,1,0,1.0
6661,P24941,P30307,1,0,1.0
6662,P39687,P55211,1,0,1.0
6663,P27361,Q02447,1,0,1.0
6664,P27361,Q01892,0,0,0.1
6665,P27361,Q12772,1,0,1.0
6666,P54646,Q13177,0,0,0.1
6667,P27361,P10828,0,0,0.1
6668,P21918,P63096,1,0,1.0
6669,P04637,P27361,0,0,0.1
6670,P27361,P04637,1,0,1.0
6671,P27361,Q8IX03,0,0,0.1
6672,Q16659,Q9Y6Q9,1,0,1.0
6673,P08913,P63096,1,0,1.0
6674,Q13164,P14921,1,0,1.0
6675,Q13164,P17302,0,1,-1.0
6676,P50613,P06493,1,0,1.0
6677,Q9UQF2,Q12851,0,1,-1.0
6678,Q9UQF2,P46531,0,1,-1.0
6679,Q9UQF2,Q06330,0,1,-1.0
6680,Q13387,Q9UQF2,1,0,1.0
6681,P45983,Q12904,0,1,-1.0
6682,P45983,P30307,0,1,-1.0
6683,P45983,P38936,1,0,1.0
6684,P45983,Q9NRA8,1,0,1.0
6685,P27361,P05787,0,0,0.1
6686,P49759,P18031,1,0,1.0
6687,P45983,P84243,1,0,1.0
6688,P45983,Q00613,0,1,-1.0
6689,Q02156,Q9UBS0,0,1,-1.0
6690,P35916,P51812,0,1,-1.0
6691,Q96T58,Q06330,0,1,-1.0
6692,P45983,P17535,1,0,1.0
6693,P45983,P05787,1,0,1.0
6694,P45983,O43561,0,1,-1.0
6695,P45983,O75581,1,0,1.0
6696,Q9BPV8,Q03113,1,0,1.0
6697,P45983,P45984,0,0,0.1
6698,P45984,P45983,0,0,0.1
6699,O15552,P30679,1,0,1.0
6700,P45983,Q07820,1,0,1.0
6701,P45983,P01106,1,0,1.0
6702,P45983,Q13469,0,1,-1.0
6703,P45983,Q99640,1,0,1.0
6704,P45983,P37231,0,1,-1.0
6705,P45983,P19793,0,1,-1.0
6706,P45983,P31947,0,1,-1.0
6707,P45983,P42226,0,1,-1.0
6708,P45983,P16949,0,1,-1.0
6709,P21728,P63096,1,0,1.0
6710,P45983,P31946,0,1,-1.0
6711,P45984,Q9UIG0,1,0,1.0
6712,P45984,P30307,0,1,-1.0
6713,P45984,P19419,1,0,1.0
6714,P45984,Q9UQF2,1,0,1.0
6715,Q9UQF2,P45984,0,0,0.1
6716,P45984,O95140,0,1,-1.0
6717,P45984,P01106,1,0,1.0
6718,Q13153,Q13233,1,0,1.0
6719,P45984,Q13469,0,1,-1.0
6720,P45984,P49768,1,0,1.0
6721,P45984,P19793,0,1,-1.0
6722,P45984,P31947,0,1,-1.0
6723,P45984,P40763,1,0,1.0
6724,P45984,P16949,0,1,-1.0
6725,O14842,P63096,1,0,1.0
6726,O14842,P50148,1,0,1.0
6727,O15552,Q03113,1,0,1.0
6728,O15552,P50148,1,0,1.0
6729,P45984,P63104,0,1,-1.0
6730,P49137,Q9NY61,1,0,1.0
6731,Q5NUL3,P19086,1,0,1.0
6732,O43603,Q03113,1,0,1.0
6733,P49137,Q15717,1,0,1.0
6734,P49137,P50549,1,0,1.0
6735,O60755,P19086,1,0,1.0
6736,O96017,Q13972,0,1,-1.0
6737,P49137,Q00987,1,0,1.0
6738,Q13304,P63096,1,0,1.0
6739,Q13304,P50148,1,0,1.0
6740,P32249,Q03113,1,0,1.0
6741,Q9HC97,Q03113,1,0,1.0
6742,Q9HC97,P63096,1,0,1.0
6743,P49137,P53350,1,0,1.0
6744,P49137,P15923,1,0,1.0
6745,Q9HC97,P19086,1,0,1.0
6746,Q9Y2T6,Q14344,1,0,1.0
6747,Q9NQS5,P19086,1,0,1.0
6748,P36507,P37231,0,0,0.1
6749,P30550,P19086,1,0,1.0
6750,P25021,P19086,1,0,1.0
6751,Q8IW41,P25685,1,0,1.0
6752,P28566,P63096,1,0,1.0
6753,Q13639,P50148,1,0,1.0
6754,Q9HBW0,P50148,1,0,1.0
6755,Q9HBW0,P19086,1,0,1.0
6756,Q9H1C0,Q03113,1,0,1.0
6757,Q9H1C0,P19086,1,0,1.0
6758,Q7KZI7,Q92974,0,1,-1.0
6759,Q7KZI7,Q8TEW0,1,0,1.0
6760,Q7KZI7,Q7L804,1,0,1.0
6761,P29275,P50148,1,0,1.0
6762,Q96J02,Q86Y01,0,1,-1.0
6763,P08913,P19086,1,0,1.0
6764,P18089,P19086,1,0,1.0
6765,P18825,P63096,1,0,1.0
6766,Q7Z434,Q86WV6,1,0,1.0
6767,Q9Y243,O43464,0,1,-1.0
6768,P06493,P08670,0,1,-1.0
6769,P25116,P19086,1,0,1.0
6770,P28223,P19086,1,0,1.0
6771,P41595,P63096,1,0,1.0
6772,P41595,P50148,1,0,1.0
6773,P28335,P30679,1,0,1.0
6774,P50406,P63096,1,0,1.0
6775,Q01726,P50148,1,0,1.0
6776,P41968,Q03113,1,0,1.0
6777,P41968,P30679,1,0,1.0
6778,Q9H1C0,P63096,1,0,1.0
6779,P41968,P50148,1,0,1.0
6780,P41968,P19086,1,0,1.0
6781,P32245,Q03113,1,0,1.0
6782,Q15722,Q03113,1,0,1.0
6783,Q15722,P63096,1,0,1.0
6784,P33032,P63096,1,0,1.0
6785,P32245,P50148,1,0,1.0
6786,P32245,P19086,1,0,1.0
6787,P33032,P19086,1,0,1.0
6788,Q969V1,Q03113,1,0,1.0
6789,Q969V1,P30679,1,0,1.0
6790,Q969V1,P63096,1,0,1.0
6791,Q969V1,P50148,1,0,1.0
6792,Q00987,Q09472,0,1,-1.0
6793,P49757,Q00987,0,1,-1.0
6794,Q00987,P49757,0,1,-1.0
6795,P24530,P19086,1,0,1.0
6796,Q03112,P84022,0,1,-1.0
6797,P30968,P50148,1,0,1.0
6798,P33032,Q03113,1,0,1.0
6799,Q02078,P15172,1,0,1.0
6800,P30542,P19086,1,0,1.0
6801,O00192,P19022,1,0,1.0
6802,P36507,P49841,1,0,1.0
6803,P36507,P35568,0,1,-1.0
6804,P36507,P17542,0,1,-1.0
6805,Q13535,P33991,1,0,1.0
6806,P20749,O15379,1,0,1.0
6807,Q6W2J9,Q99496,1,0,1.0
6808,P07766,P16333,1,0,1.0
6809,Q14680,P30305,0,0,0.1
6810,O00255,P31269,1,0,1.0
6811,Q00535,P14416,0,1,-1.0
6812,P33076,P48382,1,0,1.0
6813,P27361,O75030,0,1,-1.0
6814,Q8N4C8,Q12809,1,0,1.0
6815,P22455,P42224,1,0,1.0
6816,P63092,P27986,1,0,1.0
6817,Q9BUB5,O43597,0,1,-1.0
6818,P63000,Q8IYU2,0,0,0.1
6819,Q8IYU2,P63000,0,0,0.1
6820,P27361,P35228,1,0,1.0
6821,P01112,P42336,1,0,1.0
6822,P42336,P01112,0,0,0.1
6823,Q9NY61,Q07812,0,1,-1.0
6824,O14672,P16070,1,0,1.0
6825,O14672,P12830,1,0,1.0
6826,Q5S007,P37840,1,0,1.0
6827,O43193,P50148,1,0,1.0
6828,P08253,P01137,1,0,1.0
6829,O96014,Q14332,1,0,1.0
6830,O96014,Q9ULV1,1,0,1.0
6831,O96014,Q13467,1,0,1.0
6832,O96014,O00144,1,0,1.0
6833,O96014,Q9NPG1,1,0,1.0
6834,O96014,O60353,1,0,1.0
6835,O96014,Q9H461,1,0,1.0
6836,O96014,Q9UP38,1,0,1.0
6837,O14672,P04626,1,0,1.0
6838,O14672,P46531,1,0,1.0
6839,P28482,P16949,0,1,-1.0
6840,Q7L9L4,Q9NRM7,1,0,1.0
6841,Q7L9L4,O95835,1,0,1.0
6842,Q9H8S9,Q9NRM7,1,0,1.0
6843,Q9H8S9,O95835,1,0,1.0
6844,O14672,Q99466,1,0,1.0
6845,P78536,P15514,1,0,1.0
6846,P78536,O14944,1,0,1.0
6847,P78536,P01135,1,0,1.0
6848,O96014,O75581,1,0,1.0
