,source,target,stimulation,inhibition,mode_of_action
3993,Q15831,P57059,1,0,1.0
3994,Q15831,Q9H0K1,1,0,1.0
3995,Q9UEE5,P04637,1,0,1.0
3996,Q9Y6E0,Q15208,1,0,1.0
3997,O00506,Q9BUL8,0,0,0.1
3998,Q9P289,P15311,1,0,1.0
3999,Q13188,Q7L9L4,1,0,1.0
4000,Q13188,Q9H8S9,1,0,1.0
4001,Q13043,Q7L9L4,1,0,1.0
4002,Q13043,Q9H8S9,1,0,1.0
4003,Q15208,P46937,0,1,-1.0
4004,P00519,Q13188,1,0,1.0
4005,Q13188,P00519,0,0,0.1
4006,P49354,P01116,1,0,1.0
4007,Q13188,P51955,1,0,1.0
4008,P00519,Q13043,0,0,0.1
4009,Q13043,P00519,0,0,0.1
4010,Q13043,Q12778,1,0,1.0
4011,Q13043,P98177,1,0,1.0
4012,P63096,O14939,0,1,-1.0
4013,Q13043,O95835,1,0,1.0
4014,P16949,Q8NG68,0,1,-1.0
4015,Q9UNE7,Q15797,0,1,-1.0
4016,Q9UNE7,Q99717,0,1,-1.0
4017,P45984,P84243,1,0,1.0
4018,P45984,P35568,0,1,-1.0
4019,P30304,P27361,0,1,-1.0
4020,P06493,P04637,1,0,1.0
4021,O15111,P49815,0,1,-1.0
4022,P43405,Q8WV28,1,0,1.0
4023,Q8WV28,P43405,0,0,0.1
4024,P43405,Q06187,1,0,1.0
4025,P43405,Q13422,1,0,1.0
4026,P43405,Q13261,1,0,1.0
4027,P43405,P06239,0,1,-1.0
4028,P43405,Q92918,1,0,1.0
4029,P43405,P17252,1,0,1.0
4030,Q16539,Q15717,1,0,1.0
4031,P43405,P37840,0,1,-1.0
4032,P53779,Q15750,0,0,0.1
4033,Q15750,P53779,0,0,0.1
4034,Q15750,P45983,1,0,1.0
4035,Q15750,P45984,1,0,1.0
4036,Q15750,P53778,1,0,1.0
4037,Q15750,O15264,1,0,1.0
4038,Q15750,Q15759,1,0,1.0
4039,Q15759,Q15750,0,0,0.1
4040,Q15750,Q01974,0,1,-1.0
4041,Q9NYJ8,P53779,1,0,1.0
4042,Q9NYJ8,P45983,1,0,1.0
4043,Q9NYJ8,P45984,1,0,1.0
4044,P24941,Q08999,0,1,-1.0
4045,P68400,P35221,0,1,-1.0
4046,P22607,P60484,0,0,0.1
4047,P60484,P22607,0,0,0.1
4048,Q9NYJ8,P53778,1,0,1.0
4049,Q9NYJ8,O15264,1,0,1.0
4050,Q9NYJ8,Q16539,1,0,1.0
4051,Q9NYJ8,Q15759,1,0,1.0
4052,Q8N5C8,P53779,1,0,1.0
4053,Q8N5C8,P45983,1,0,1.0
4054,Q8N5C8,P45984,1,0,1.0
4055,Q8N5C8,P53778,1,0,1.0
4056,Q8N5C8,O15264,1,0,1.0
4057,Q8N5C8,Q16539,1,0,1.0
4058,Q8N5C8,Q15759,1,0,1.0
4059,P06493,P02545,1,0,1.0
4060,P25103,P63096,1,0,1.0
4061,P25103,P50148,1,0,1.0
4062,P25103,P19086,1,0,1.0
4063,P21452,P63096,1,0,1.0
4064,P21452,P50148,1,0,1.0
4065,P29371,Q03113,1,0,1.0
4066,P29371,Q14344,1,0,1.0
4067,P49137,Q07352,0,1,-1.0
4068,P29371,P63096,1,0,1.0
4069,P29371,P50148,1,0,1.0
4070,Q9H4B4,Q07817,1,0,1.0
4071,P67775,P23396,0,1,-1.0
4072,Q7KZI7,Q8WUI4,0,1,-1.0
4073,Q7L7X3,Q13188,1,0,1.0
4074,Q9UL54,P19419,1,0,1.0
4075,Q9UL54,Q13188,1,0,1.0
4076,Q7Z434,Q14790,1,0,1.0
4077,Q86VP1,P21580,1,0,1.0
4078,Q9UHD2,Q9Y243,1,0,1.0
4079,Q9UHD2,P31751,1,0,1.0
4080,O14920,Q9UHD2,0,0,0.1
4081,Q9UHD2,O14920,1,0,1.0
4082,P42771,Q00534,0,1,-1.0
4083,P38936,Q99683,0,0,0.1
4084,Q99683,P38936,1,0,1.0
4085,Q9UHD2,Q13568,1,0,1.0
4086,Q9UHD2,P25963,0,1,-1.0
4087,Q9UHD2,Q04206,1,0,1.0
4088,Q9UHD2,Q04864,1,0,1.0
4089,Q9UHD2,Q13501,1,0,1.0
4090,Q9UHD2,P42226,1,0,1.0
4091,P27361,P17535,1,0,1.0
4092,Q9BZK7,P10275,1,0,1.0
4093,Q92633,Q14344,1,0,1.0
4094,P53779,P05412,1,0,1.0
4095,P21731,Q14344,1,0,1.0
4096,P21731,P63096,1,0,1.0
4097,P21731,P50148,1,0,1.0
4098,Q09472,Q01543,1,0,1.0
4099,P15923,P15172,1,0,1.0
4100,P49137,O75925,1,0,1.0
4101,P31751,P56279,0,0,0.1
4102,P56279,P31751,1,0,1.0
4103,P56279,Q9Y243,1,0,1.0
4104,Q9Y243,P56279,0,0,0.1
4105,Q15562,Q9GZV5,1,0,1.0
4106,Q9GZV5,Q15562,1,0,1.0
4107,Q99594,Q9GZV5,1,0,1.0
4108,Q9GZV5,Q99594,1,0,1.0
4109,Q15561,Q9GZV5,1,0,1.0
4110,Q9GZV5,Q15561,1,0,1.0
4111,P28347,Q9GZV5,1,0,1.0
4112,Q9GZV5,P28347,1,0,1.0
4113,P42680,P51813,1,0,1.0
4114,Q02763,P29353,1,0,1.0
4115,O15379,O15105,1,0,1.0
4116,Q15569,P23528,0,1,-1.0
4117,Q15569,Q9Y281,0,1,-1.0
4118,P68400,P11388,1,0,1.0
4119,P49915,P04637,1,0,1.0
4120,Q8NFU7,P31269,1,0,1.0
4121,Q8NFU7,P60484,1,0,1.0
4122,P68400,Q14676,1,0,1.0
4123,P28482,Q8IX03,0,0,0.1
4124,Q14676,O60934,1,0,1.0
4125,Q6N021,O15294,1,0,1.0
4126,Q6N021,P19544,1,0,1.0
4127,Q00987,P46531,1,0,1.0
4128,Q00987,Q99466,0,1,-1.0
4129,Q00987,O15350,0,1,-1.0
